definition,annee,valeur
"Taux de chômage selon le Milieu, le sexe et le groupe d'âges",2000,12.200
"Taux de chômage selon le Milieu, le sexe et le groupe d'âges",2006,13.500
"Taux de chômage selon le Milieu, le sexe et le groupe d'âges",2013,18.300
